perturbagen,pubchem_cid
TIE2 Kinase Inhibitor,23625762
MK-5108,24748204
Lapatinib,208908
Dimethyl Sulfoxide,679
Atorvastatin,60823
Ganetespib (STA-9090),135564985
Clomipramine,2801
Sunitinib,5329102
Tivozanib,9911830
Tamatinib,11213558
Ixabepilone,6445540
Linagliptin,10096344
5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,46912230
O-Demethylated Adapalene,135411
Protriptyline,4976
I-BET151,52912189
Foretinib,42642645
GW843682X,9826308
BMS-387032,3025986
IN1451,97297
Raloxifene,5035
Topotecan,60700
BAY 87-2243,67377767
Phenylbutazone,4781
K-02288,46173038
BMS-777607,24794418
Porcn Inhibitor III,71601111
TL_HRAS26,49766530
Proscillaridin A;Proscillaridin-A,5284613
Vorinostat,5311
BMS-265246,5329775
Ruxolitinib,25126798
Pomalidomide,134780
Dovitinib,135398510
AVL-292,59174488
Navitoclax,24978538
Methotrexate,126941
Palbociclib,5330286
Trametinib,11707110
AMD-070 (hydrochloride),11256587
Sgc-cbp30,72201027
FK 866,6914657
Chlorpheniramine,2725
Scriptaid,5186
BAY 61-3606,10200390
LY2090314,10029385
Vardenafil,135400189
Dasatinib,3062316
AT13387,11955716
PF-04691502,25033539
Perhexiline,4746
RVX-208,135564749
Ketoconazole,456201
Disulfiram,3117
Flutamide,3397
Desloratadine,124087
Dactolisib,11977753
BMS-536924,135440466
IKK Inhibitor VII,9549298
Amiodarone,2157
Isoniazid,3767
IMD-0354,5081913
Canertinib,156414
Idelalisib,11625818
Alogliptin,11450633
Penfluridol,33630
Quizartinib,24889392
RN-486,46908026
PD-0325901,9826528
Decitabine,451668
LDN 193189,25195294
Cabozantinib,25102847
Riociguat,11304743
CHIR-99021,9956119
Defactinib,25117126
BI-D1870,25023738
AZD3514,46893585
HMN-214,9888590
CC-401,10430360
Resminostat,11609955
Crizotinib,11626560
Azacitidine,9444
TR-14035,9912743
Nilotinib,644241
AT 7867,11175137
OSI-930,9868037
GO-6976,3501
Saracatinib,10302451
RG7112,57406853
Lamivudine,60825
TGX 221,9907093
Pitavastatin Calcium,5282452
ABT737,11228183
PRT-062607,44462758
AZ628,11676786
AZD-8330,16666708
Masitinib,10074640
Ceritinib,57379345
CGM-097,53240420
SLx-2119,11950170
Nefazodone,4449
STK219801,1285940
TPCA-1,9903786
MGCD-265,24901704
GSK-1070916,46885626
Ricolinostat,53340666
Bosutinib,5328940
Clemastine,26987
YK 4-279,44632017
Buspirone,2477
Midostaurin,9829523
CEP-37440,71721648
GSK256066,9827968
R428,46215462
Oxybenzone,4632
Vandetanib,3081361
Imatinib,5291
SCH-58261,176408
Colforsin,47936
Tivantinib,11494412
Tosedostat,15547703
Colchicine,6167
ABT-199 (GDC-0199),49846579
Mometasone Furoate,441336
Tipifarnib,159324
BX 912,11754511
Doxorubicin,31703
PF-03814735,51346455
AZD4547,51039095
Prednisolone,5755
Tacalcitol,5283734
Selumetinib,10127622
Clotrimazole,2812
RG7090,11438771
GLPG0634,49831257
Mubritinib (TAK 165),6444692
Vanoxerine,3455
SB525334,9967941
HYDROXYUREA,3657
Belinostat,6918638
Dabrafenib,44462760
